 ,0.853 ,0.609 ,-66.728 ,-20.042 ,10.836 ,148.692 ,0.713 ,1.000
 ,0.909 ,0.800 ,-61.816 ,-19.071 ,15.236 ,205.652 ,0.601 ,1.000
 ,0.963 ,0.818 ,-61.778 ,-18.862 ,16.395 ,251.339 ,0.587 ,1.000
 ,0.940 ,0.889 ,-63.843 ,-19.436 ,14.816 ,232.213 ,0.586 ,1.000
 ,0.952 ,0.900 ,-61.796 ,-19.403 ,14.402 ,191.574 ,0.629 ,1.000
 ,0.868 ,0.640 ,-62.895 ,-20.059 ,14.595 ,177.603 ,0.706 ,1.000
 ,0.942 ,0.875 ,-64.246 ,-20.088 ,13.754 ,187.576 ,0.691 ,1.000
 ,0.925 ,0.778 ,-67.135 ,-19.500 ,13.243 ,157.213 ,0.552 ,1.000
 ,0.941 ,0.852 ,-69.474 ,-19.611 ,13.720 ,200.846 ,0.581 ,1.000
 ,0.906 ,0.862 ,-65.207 ,-19.828 ,14.919 ,193.502 ,0.576 ,1.000
 ,0.944 ,0.800 ,-70.492 ,-20.022 ,12.533 ,172.259 ,0.604 ,1.000
 ,1.000 ,1.000 ,-73.783 ,-19.237 ,10.685 ,172.435 ,0.541 ,1.000
 ,0.851 ,0.720 ,-64.805 ,-20.442 ,13.538 ,148.841 ,0.603 ,1.000
 ,0.963 ,0.905 ,-65.276 ,-19.341 ,13.818 ,167.026 ,0.543 ,1.000
 ,0.970 ,0.895 ,-68.016 ,-18.954 ,14.393 ,193.402 ,0.605 ,1.000
 ,0.963 ,0.833 ,-65.806 ,-18.874 ,14.482 ,177.680 ,0.590 ,1.000
 ,0.986 ,0.944 ,-68.012 ,-18.836 ,12.848 ,161.428 ,0.599 ,1.000
 ,0.984 ,0.938 ,-64.860 ,-19.476 ,16.836 ,242.555 ,0.587 ,1.000
 ,0.952 ,0.833 ,-67.962 ,-18.743 ,14.362 ,181.947 ,0.584 ,1.000
 ,0.957 ,0.813 ,-67.175 ,-19.805 ,13.093 ,153.751 ,0.589 ,1.000
 ,0.941 ,0.867 ,-68.288 ,-18.866 ,11.515 ,173.648 ,0.580 ,1.000
 ,0.975 ,0.917 ,-66.925 ,-19.471 ,11.340 ,153.723 ,0.729 ,1.000
 ,0.985 ,0.963 ,-63.536 ,-19.068 ,13.336 ,130.402 ,0.705 ,1.000
 ,0.953 ,0.833 ,-66.960 ,-19.776 ,13.829 ,155.575 ,0.724 ,1.000
 ,0.945 ,0.839 ,-68.930 ,-19.147 ,11.579 ,158.028 ,0.696 ,1.000
 ,0.966 ,0.953 ,-64.884 ,-19.466 ,12.526 ,138.136 ,0.698 ,1.000
 ,0.977 ,0.920 ,-63.347 ,-19.002 ,14.551 ,118.981 ,0.696 ,1.000
 ,0.978 ,0.926 ,-68.827 ,-19.029 ,12.477 ,153.502 ,0.698 ,1.000
 ,0.859 ,0.865 ,-72.353 ,-17.599 ,15.625 ,121.156 ,0.896 ,2.000
 ,0.866 ,0.951 ,-74.642 ,-17.685 ,14.735 ,113.586 ,0.923 ,2.000
 ,0.850 ,0.977 ,-74.870 ,-17.961 ,15.137 ,113.501 ,0.896 ,2.000
 ,0.931 ,0.961 ,-74.125 ,-17.890 ,15.223 ,103.135 ,0.911 ,2.000
 ,0.904 ,0.956 ,-74.401 ,-17.997 ,15.083 ,123.538 ,0.901 ,2.000
 ,0.901 ,0.951 ,-72.112 ,-18.171 ,15.669 ,138.768 ,0.959 ,2.000
